[02/04/26 07:40:19] INFO     signals-bot starting                                                                                                  
                    INFO     run_id=daily_close_scan-20260204T054019Z                                                                              
                    INFO     config=/Users/talshitrit/Workspace/Personal/trading/trading-signals/config.yaml                                       
                    INFO     Universe size: 114 tickers                                                                                            
                    INFO     WAIT AAUC conf=2 score=0.018 close=$31.61          
                             volRatio=0.27 ret5=-0.28% brkDist=1.46% atr=3.07%  
                             :: no breakout, weak momentum, low volume          
[02/04/26 15:10:08] INFO     WAIT ABAT conf=5 score=0.053 close=$4.30           
                             volRatio=0.79 ret5=-9.47% brkDist=19.32% atr=12.19%
                             :: no breakout, weak momentum, low volume          
                    INFO     WAIT ABCL conf=6 score=0.063 close=$3.52           
                             volRatio=0.95 ret5=-11.78% brkDist=27.42% atr=7.98%
                             :: no breakout, weak momentum, low volume          
[02/04/26 15:10:09] INFO     WAIT ABEO conf=5 score=0.051 close=$5.27           
                             volRatio=0.76 ret5=3.13% brkDist=7.30% atr=5.09% ::
                             no breakout, weak momentum, low volume             
                    INFO     WAIT ABSI conf=14 score=0.144 close=$3.09          
                             volRatio=0.87 ret5=3.69% brkDist=25.63% atr=5.91%  
                             :: no breakout, weak momentum, low volume          
[02/04/26 15:10:10] INFO     WAIT ABUS conf=12 score=0.123 close=$4.11          
                             volRatio=1.84 ret5=-1.20% brkDist=17.72% atr=7.99% 
                             :: no breakout, weak momentum, low volume          
                    INFO     WAIT ACAD conf=10 score=0.095 close=$24.76         
                             volRatio=1.43 ret5=-5.50% brkDist=10.97% atr=4.10% 
                             :: no breakout, weak momentum, low volume          
[02/04/26 15:10:11] INFO     WAIT ACHC conf=5 score=0.050 close=$13.68          
                             volRatio=0.75 ret5=1.48% brkDist=13.36% atr=7.65%  
                             :: no breakout, weak momentum, low volume          
[02/04/26 15:10:12] INFO     WAIT ACHR conf=5 score=0.052 close=$7.20           
                             volRatio=0.79 ret5=-11.00% brkDist=22.50% atr=7.17%
                             :: no breakout, weak momentum, low volume          
                    INFO     WAIT ACIW conf=19 score=0.191 close=$39.52         
                             volRatio=2.87 ret5=-11.59% brkDist=16.85% atr=3.85%
                             :: no breakout, weak momentum                      
[02/04/26 15:10:13] INFO     WAIT ACLX conf=4 score=0.042 close=$69.46          
                             volRatio=0.64 ret5=1.39% brkDist=9.20% atr=4.75% ::
                             no breakout, weak momentum, low volume             
                    INFO     WAIT ACMR conf=52 score=0.517 close=$61.24         
                             volRatio=1.29 ret5=13.51% brkDist=0.55% atr=6.02%  
                             :: no breakout, low volume                         
[02/04/26 15:10:14] INFO     WAIT ACRS conf=2 score=0.021 close=$3.47           
                             volRatio=0.32 ret5=-10.34% brkDist=29.04%          
                             atr=14.34% :: no breakout, weak momentum, low      
                             volume                                             
                    INFO     WAIT ACVA conf=7 score=0.075 close=$7.47           
                             volRatio=1.12 ret5=-10.54% brkDist=17.64% atr=4.77%
                             :: no breakout, weak momentum, low volume          
[02/04/26 15:10:15] INFO     WAIT AD conf=4 score=0.044 close=$48.92            
                             volRatio=0.66 ret5=4.24% brkDist=19.57% atr=5.78%  
                             :: no breakout, weak momentum, low volume          
[02/04/26 15:10:16] INFO     WAIT ADEA conf=9 score=0.085 close=$17.66          
                             volRatio=1.28 ret5=-4.13% brkDist=13.13% atr=4.26% 
                             :: no breakout, weak momentum, low volume          
                    INFO     WAIT ADMA conf=4 score=0.043 close=$17.52          
                             volRatio=0.65 ret5=5.67% brkDist=7.55% atr=4.09% ::
